user_id,signup_date,plan_type,country,segment,preferred_genres
65,2026-05-19,free,CA,casual,anime|piano|breakbeat|house
66,2026-05-30,free,CA,casual,disney|punk-rock|rock
67,2026-05-08,free,DE,power,heavy-metal|classical|punk-rock
68,2026-05-15,free,MX,churn_risk,samba|brazil|afrobeat
69,2026-05-20,free,DE,power,cantopop|brazil|latino|drum-and-bass
70,2026-05-05,free,CA,dormant,world-music|blues|electro
71,2026-05-10,free,DE,churn_risk,indie-pop|synth-pop
72,2026-05-20,premium,DE,casual,latin|afrobeat|punk-rock|study
73,2026-05-30,free,UK,power,chicago-house|world-music|club|emo
74,2026-05-29,free,IN,churn_risk,salsa|mandopop
75,2026-05-09,free,CA,churn_risk,pagode|disney|rock
76,2026-05-07,premium,MX,churn_risk,pop|trance|emo|jazz
77,2026-05-09,free,AU,churn_risk,british|pop
78,2026-05-27,free,IN,power,anime|acoustic|grindcore
79,2026-05-21,premium,AU,casual,dance|sad|indie-pop
80,2026-05-18,premium,IN,power,children|brazil
81,2026-05-18,premium,IN,churn_risk,synth-pop|hard-rock
82,2026-05-14,free,CA,casual,anime|german
83,2026-05-29,free,BR,casual,guitar|disney
84,2026-05-22,premium,AU,power,guitar|singer-songwriter
85,2026-05-20,premium,IN,casual,country|edm|trip-hop|dance
86,2026-05-29,free,CA,casual,alternative|death-metal|sad
87,2026-05-26,free,BR,churn_risk,soul|punk-rock|trip-hop
88,2026-05-09,free,UK,casual,ska|reggaeton
89,2026-05-13,premium,BR,churn_risk,trance|j-dance
90,2026-05-07,free,BR,casual,grunge|german|swedish
91,2026-05-08,free,AU,power,psych-rock|detroit-techno
92,2026-05-11,free,DE,churn_risk,trip-hop|blues|show-tunes
93,2026-05-12,free,CA,churn_risk,k-pop|hip-hop|punk|tango
94,2026-05-31,free,DE,casual,children|world-music
95,2026-05-06,free,AU,churn_risk,emo|ambient|chicago-house|opera
96,2026-05-12,free,UK,casual,ska|gospel|indian|pagode
97,2026-05-13,free,AU,casual,detroit-techno|electronic|anime|rock-n-roll
98,2026-05-01,free,BR,casual,spanish|latino|r-n-b|rockabilly
99,2026-05-12,free,CA,power,blues|punk-rock|grindcore
100,2026-05-22,free,DE,power,rockabilly|garage
101,2026-05-22,free,DE,power,goth|hip-hop|reggaeton
102,2026-05-18,free,AU,casual,detroit-techno|house
103,2026-05-22,free,AU,casual,death-metal|party|metalcore|garage
104,2026-05-18,free,BR,casual,garage|french
105,2026-05-14,free,MX,dormant,pagode|progressive-house|goth|iranian
106,2026-05-15,premium,IN,casual,drum-and-bass|k-pop|j-dance|sleep
107,2026-05-22,free,CA,casual,french|k-pop
108,2026-05-03,premium,BR,churn_risk,punk|german
109,2026-05-26,free,US,casual,comedy|alternative
110,2026-05-08,premium,UK,power,party|techno|show-tunes
111,2026-05-15,premium,AU,casual,pop-film|minimal-techno|detroit-techno
112,2026-05-16,free,US,casual,electro|comedy|progressive-house
113,2026-05-29,free,BR,dormant,singer-songwriter|idm
114,2026-05-06,free,BR,churn_risk,kids|iranian|black-metal|metal
115,2026-05-30,free,MX,casual,industrial|club
116,2026-05-22,premium,MX,churn_risk,metal|opera|gospel|samba
117,2026-05-20,premium,MX,churn_risk,jazz|idm|synth-pop|mandopop
118,2026-05-29,premium,MX,casual,salsa|trip-hop
119,2026-05-15,free,DE,churn_risk,samba|electro|tango
120,2026-05-25,premium,MX,casual,j-pop|pop-film|edm|forro
121,2026-05-03,premium,CA,churn_risk,french|edm|folk|grindcore
122,2026-05-29,free,AU,churn_risk,breakbeat|club|country|dubstep
123,2026-05-23,free,UK,casual,rock-n-roll|drum-and-bass
124,2026-05-14,premium,AU,power,grindcore|malay|iranian
125,2026-05-02,free,AU,casual,synth-pop|house
126,2026-05-29,premium,AU,casual,reggaeton|alt-rock|trance|world-music
127,2026-05-16,free,AU,churn_risk,guitar|garage
128,2026-05-28,premium,BR,churn_risk,latino|salsa|sad
129,2026-05-16,free,MX,power,folk|indian
130,2026-05-01,free,AU,casual,groove|punk-rock|punk
131,2026-05-24,free,IN,casual,tango|iranian
132,2026-05-20,premium,US,casual,alternative|heavy-metal|new-age|metalcore
133,2026-05-03,premium,IN,power,idm|club|trip-hop|iranian
134,2026-05-02,free,MX,casual,hardcore|goth|drum-and-bass
135,2026-05-11,free,DE,dormant,sertanejo|world-music|hardcore
136,2026-05-25,premium,MX,casual,electronic|synth-pop|breakbeat
137,2026-05-01,free,UK,casual,malay|black-metal|grunge|dub
138,2026-05-25,premium,BR,churn_risk,anime|samba|alternative|electro
139,2026-05-27,free,BR,casual,piano|country
140,2026-05-05,free,BR,dormant,punk-rock|children|metalcore
141,2026-05-15,free,UK,dormant,electronic|show-tunes|hard-rock|dancehall
142,2026-05-25,free,US,casual,german|chicago-house
143,2026-05-30,premium,AU,casual,minimal-techno|punk|hardcore
144,2026-05-31,free,BR,casual,disco|brazil|new-age|reggae
145,2026-05-04,free,UK,casual,show-tunes|garage|techno|r-n-b
146,2026-05-26,premium,AU,power,ska|anime|grunge|latino
147,2026-05-22,free,CA,casual,blues|jazz|power-pop
148,2026-05-01,free,AU,casual,swedish|j-pop|chicago-house
149,2026-05-31,premium,IN,power,pop|synth-pop|industrial
150,2026-05-14,free,DE,casual,romance|kids
151,2026-05-20,free,DE,dormant,singer-songwriter|j-idol|iranian|indian
152,2026-05-11,premium,DE,casual,synth-pop|british
153,2026-05-29,free,AU,power,electro|samba|iranian
154,2026-05-11,free,CA,casual,j-rock|techno
155,2026-05-06,free,DE,dormant,drum-and-bass|guitar|soul
156,2026-05-11,premium,DE,casual,world-music|opera|reggaeton
157,2026-05-18,free,UK,casual,kids|detroit-techno
158,2026-05-08,free,BR,churn_risk,honky-tonk|j-pop|metal|sertanejo
159,2026-05-23,premium,MX,casual,power-pop|rock|j-pop
160,2026-05-26,premium,BR,churn_risk,british|funk
161,2026-05-13,free,CA,casual,electro|german|psych-rock|mpb
162,2026-05-16,free,CA,casual,latin|grunge|idm|salsa
163,2026-05-12,free,BR,casual,industrial|folk|german|electronic
164,2026-05-04,premium,IN,casual,detroit-techno|gospel|chill|salsa
165,2026-05-07,free,DE,power,sad|j-idol
166,2026-05-24,free,UK,churn_risk,sertanejo|latin|opera|french
167,2026-05-27,premium,CA,casual,funk|dubstep
168,2026-05-06,premium,IN,casual,afrobeat|rock-n-roll|latino
169,2026-05-09,free,DE,power,black-metal|mandopop
170,2026-05-23,premium,MX,casual,pop|turkish
171,2026-05-04,free,MX,casual,minimal-techno|french
172,2026-05-16,premium,DE,power,groove|deep-house|black-metal
173,2026-05-31,free,AU,casual,children|swedish|blues
174,2026-05-16,free,US,casual,minimal-techno|pop-film
175,2026-05-05,premium,DE,casual,spanish|metalcore
176,2026-05-03,free,AU,casual,chill|metal
177,2026-05-20,free,AU,casual,sleep|piano|dub|singer-songwriter
178,2026-05-15,premium,AU,casual,garage|trip-hop|new-age
179,2026-05-10,premium,UK,dormant,piano|bluegrass|party|sad
180,2026-05-31,free,DE,power,pop-film|drum-and-bass
181,2026-05-22,premium,IN,casual,dance|edm
182,2026-05-18,free,AU,power,dance|acoustic
183,2026-05-15,free,BR,dormant,opera|j-dance|funk|ambient
184,2026-05-10,free,UK,churn_risk,french|reggaeton|trip-hop|industrial
185,2026-05-22,free,BR,casual,emo|ska
186,2026-05-14,premium,IN,casual,malay|dub
187,2026-05-30,free,US,churn_risk,swedish|comedy|brazil
188,2026-05-06,free,DE,casual,opera|salsa|swedish
189,2026-05-15,free,DE,casual,iranian|reggae
190,2026-05-23,premium,MX,casual,folk|jazz|malay
191,2026-05-15,free,AU,power,opera|anime
192,2026-05-24,free,UK,churn_risk,pagode|electronic|alternative
193,2026-05-08,free,US,dormant,tango|trip-hop|minimal-techno|new-age
194,2026-05-25,free,IN,casual,swedish|folk|minimal-techno|anime
195,2026-05-16,free,AU,casual,progressive-house|indie-pop|forro|deep-house
196,2026-05-21,premium,AU,casual,british|j-dance|grunge
197,2026-05-11,premium,IN,churn_risk,punk-rock|chicago-house|trance
198,2026-05-11,free,AU,churn_risk,reggae|j-rock|french
199,2026-05-27,premium,DE,churn_risk,ambient|industrial|british|gospel
200,2026-05-11,premium,US,churn_risk,show-tunes|hip-hop
201,2026-05-22,premium,CA,casual,iranian|honky-tonk|black-metal|detroit-techno
202,2026-05-20,free,US,power,pop-film|indie-pop|sertanejo
203,2026-05-07,free,MX,casual,mandopop|classical|french
204,2026-05-29,free,BR,churn_risk,j-pop|chill|alternative|pop-film
205,2026-05-23,free,US,casual,german|mandopop
206,2026-05-18,premium,UK,power,british|dub|tango
207,2026-05-15,premium,IN,power,power-pop|synth-pop
208,2026-05-16,premium,AU,casual,funk|k-pop|rock-n-roll|folk
209,2026-05-27,free,IN,power,j-dance|electro|industrial
210,2026-05-13,free,IN,casual,opera|k-pop
211,2026-05-28,premium,AU,casual,forro|show-tunes
212,2026-05-11,premium,DE,casual,folk|swedish|acoustic|french
213,2026-05-27,free,IN,casual,mpb|psych-rock|j-pop|trip-hop
214,2026-05-15,premium,AU,casual,j-idol|grunge|grindcore|mandopop
215,2026-05-15,premium,BR,churn_risk,turkish|detroit-techno|reggaeton
216,2026-05-19,free,AU,casual,dubstep|trance|singer-songwriter
217,2026-05-02,free,AU,casual,salsa|j-dance|rock-n-roll
218,2026-05-13,free,MX,churn_risk,sleep|swedish|progressive-house|country
219,2026-05-31,free,CA,casual,classical|jazz
220,2026-05-28,free,MX,churn_risk,turkish|techno
221,2026-05-04,premium,AU,casual,industrial|afrobeat|rockabilly|comedy
222,2026-05-28,free,DE,casual,country|brazil|j-dance|ska
223,2026-05-11,free,CA,power,reggae|heavy-metal|progressive-house|breakbeat
224,2026-05-28,free,MX,casual,trance|latino|hardcore|gospel
225,2026-05-28,free,DE,casual,ambient|piano|blues|edm
226,2026-05-08,premium,UK,casual,british|indian|cantopop|sertanejo
227,2026-05-15,free,US,dormant,reggae|garage
228,2026-05-02,free,CA,casual,sleep|bluegrass|funk
229,2026-05-12,premium,AU,churn_risk,comedy|electro|latin
230,2026-05-19,free,UK,casual,sleep|deep-house|dancehall|death-metal
231,2026-05-20,free,MX,churn_risk,piano|r-n-b|edm
232,2026-05-30,free,DE,casual,comedy|dubstep|iranian|pop
233,2026-05-15,free,MX,casual,punk-rock|afrobeat|soul
234,2026-05-29,free,UK,casual,punk|malay|dance
235,2026-05-15,free,AU,casual,new-age|garage|pop
236,2026-05-23,free,BR,churn_risk,industrial|techno|garage
237,2026-05-13,premium,CA,casual,chicago-house|edm|hardcore
238,2026-05-19,free,AU,power,reggaeton|funk|alt-rock
239,2026-05-09,free,US,casual,metalcore|trip-hop
240,2026-05-30,free,BR,casual,salsa|j-rock|synth-pop|french
241,2026-05-20,free,DE,dormant,dub|pop|detroit-techno
242,2026-05-22,premium,IN,dormant,show-tunes|psych-rock|r-n-b|tango
243,2026-05-21,free,US,dormant,pop-film|power-pop
244,2026-05-10,premium,IN,casual,ambient|mpb|happy
245,2026-05-03,free,IN,power,goth|salsa|house
246,2026-05-07,free,CA,dormant,ska|malay
247,2026-05-17,free,MX,casual,folk|synth-pop|dancehall|electronic
248,2026-05-31,premium,UK,dormant,salsa|turkish|groove
249,2026-05-15,free,BR,dormant,comedy|samba
250,2026-05-28,free,CA,churn_risk,rockabilly|punk|heavy-metal|techno
251,2026-05-03,free,UK,casual,afrobeat|emo|latino
252,2026-05-15,premium,AU,casual,punk|salsa|emo
253,2026-05-27,free,MX,churn_risk,hard-rock|chicago-house|punk|dubstep
254,2026-05-01,premium,UK,casual,metal|goth|party|dub
255,2026-05-21,free,AU,casual,reggaeton|garage|progressive-house
256,2026-05-04,free,DE,casual,anime|ambient
257,2026-05-16,free,IN,dormant,cantopop|edm
258,2026-05-13,free,AU,casual,hard-rock|punk-rock|salsa
259,2026-05-19,free,UK,casual,romance|country|house|progressive-house
260,2026-05-27,free,US,power,party|honky-tonk|forro
261,2026-05-23,premium,CA,casual,drum-and-bass|indie-pop|edm
262,2026-05-04,free,US,dormant,hard-rock|malay|power-pop|guitar
263,2026-05-13,free,MX,power,detroit-techno|chill|techno
264,2026-05-03,free,US,casual,drum-and-bass|power-pop|pop|opera
265,2026-05-02,free,BR,churn_risk,electro|classical|ska
266,2026-05-03,free,BR,churn_risk,disney|new-age|drum-and-bass|study
267,2026-05-11,free,US,casual,ska|opera
268,2026-05-09,free,DE,churn_risk,classical|malay
269,2026-05-26,premium,US,casual,children|psych-rock
270,2026-05-05,premium,BR,casual,guitar|sleep
271,2026-05-19,free,US,churn_risk,alt-rock|death-metal|emo
272,2026-05-05,free,UK,churn_risk,house|latin|children|salsa
273,2026-05-16,free,UK,churn_risk,singer-songwriter|happy|k-pop
274,2026-05-15,free,DE,dormant,dub|party|anime|romance
275,2026-05-15,free,AU,casual,alternative|bluegrass|j-idol|techno
276,2026-05-14,free,UK,casual,chicago-house|j-pop|rock|indie-pop
277,2026-05-29,premium,IN,churn_risk,goth|pagode
278,2026-05-03,premium,CA,casual,forro|piano
279,2026-05-13,free,AU,churn_risk,latin|funk|industrial|jazz
280,2026-05-04,free,BR,churn_risk,children|trance|progressive-house|world-music
281,2026-05-14,free,MX,churn_risk,dubstep|honky-tonk|groove
282,2026-05-13,premium,AU,casual,romance|cantopop|gospel
283,2026-05-11,free,MX,casual,electronic|hard-rock|country|r-n-b
284,2026-05-03,free,UK,power,synth-pop|breakbeat
285,2026-05-14,premium,CA,casual,salsa|sad
286,2026-05-26,free,CA,power,metal|bluegrass
287,2026-05-22,premium,AU,casual,honky-tonk|guitar
288,2026-05-28,free,CA,casual,black-metal|french|opera|german
289,2026-05-04,free,MX,casual,jazz|drum-and-bass|country|psych-rock
290,2026-05-08,free,CA,casual,grunge|techno
291,2026-05-04,premium,AU,power,minimal-techno|dub|spanish
292,2026-05-28,premium,US,power,show-tunes|study|piano|party
293,2026-05-20,premium,IN,churn_risk,synth-pop|reggae|folk|alternative
294,2026-05-09,free,US,casual,sertanejo|german|groove|grunge
295,2026-05-06,premium,AU,power,metalcore|psych-rock
296,2026-05-03,free,US,casual,sad|pop
297,2026-05-03,free,MX,churn_risk,latin|drum-and-bass|hardcore|house
298,2026-05-11,premium,CA,casual,hard-rock|german
299,2026-05-25,free,IN,casual,opera|breakbeat|black-metal|country
300,2026-05-25,free,MX,power,black-metal|punk|breakbeat|folk
301,2026-05-22,free,AU,power,j-pop|pagode|indie-pop
302,2026-05-09,free,UK,casual,samba|k-pop
303,2026-05-12,free,MX,casual,children|french|punk
304,2026-05-17,free,US,casual,german|anime|dub|heavy-metal
305,2026-05-01,free,IN,churn_risk,garage|drum-and-bass
306,2026-05-25,premium,US,dormant,funk|goth|chill
307,2026-05-16,premium,BR,casual,indian|death-metal|classical|hardcore
308,2026-05-17,free,UK,casual,synth-pop|punk-rock|spanish|guitar
309,2026-05-13,free,UK,churn_risk,anime|indian|alt-rock|industrial
310,2026-05-28,free,AU,casual,minimal-techno|idm|hip-hop
311,2026-05-10,free,CA,casual,hip-hop|alt-rock
312,2026-05-06,free,UK,power,industrial|synth-pop|reggae|happy
313,2026-05-14,free,AU,power,electro|indian
314,2026-05-17,free,DE,dormant,heavy-metal|turkish
315,2026-05-24,free,IN,churn_risk,dub|grindcore|singer-songwriter
316,2026-05-03,free,BR,casual,pop|children|latin|k-pop
317,2026-05-29,free,IN,casual,grunge|romance|study
318,2026-05-08,premium,BR,casual,comedy|electronic
319,2026-05-06,premium,IN,casual,country|sertanejo|progressive-house|brazil
320,2026-05-31,free,MX,casual,j-rock|iranian|samba|metalcore
321,2026-05-22,premium,CA,casual,power-pop|pop|piano|goth
322,2026-05-05,free,DE,churn_risk,blues|j-dance|indie-pop
323,2026-05-26,premium,UK,casual,new-age|bluegrass|guitar
324,2026-05-10,premium,CA,casual,indie|ambient|bluegrass
325,2026-05-27,free,UK,dormant,brazil|power-pop|trip-hop
326,2026-05-20,free,US,churn_risk,jazz|hardstyle|iranian|mpb
327,2026-05-15,free,MX,casual,progressive-house|detroit-techno|goth|pagode
328,2026-05-17,free,UK,casual,bluegrass|indie
329,2026-05-26,free,IN,casual,rock|breakbeat|jazz
330,2026-05-02,free,MX,casual,rock-n-roll|indie-pop
331,2026-05-17,free,DE,casual,party|dance|happy|hard-rock
332,2026-05-13,premium,US,churn_risk,singer-songwriter|groove|punk
333,2026-05-26,premium,AU,power,power-pop|grindcore|blues|cantopop
334,2026-05-10,free,IN,power,rockabilly|trance|psych-rock
335,2026-05-11,free,IN,power,mpb|psych-rock
336,2026-05-30,free,AU,power,german|progressive-house|reggaeton
337,2026-05-05,free,AU,churn_risk,rock-n-roll|breakbeat|german|metal
338,2026-05-21,premium,UK,churn_risk,study|classical|punk-rock
339,2026-05-21,free,CA,casual,idm|k-pop|happy|alt-rock
340,2026-05-10,free,MX,power,drum-and-bass|groove
341,2026-05-07,free,UK,casual,club|country
342,2026-05-10,free,US,casual,jazz|show-tunes
343,2026-05-22,premium,IN,casual,world-music|show-tunes|piano
344,2026-05-20,premium,IN,casual,country|dance|deep-house
345,2026-05-24,free,BR,casual,anime|honky-tonk|happy
346,2026-05-15,free,MX,casual,french|samba|salsa|ska
347,2026-05-08,free,MX,casual,edm|german|spanish|ska
348,2026-05-29,premium,MX,power,hard-rock|punk
349,2026-05-15,premium,AU,casual,singer-songwriter|hardcore|jazz
350,2026-05-31,free,IN,casual,study|disco
351,2026-05-28,free,CA,casual,black-metal|power-pop|j-idol
352,2026-05-18,premium,UK,churn_risk,rock|techno
353,2026-05-10,free,DE,casual,sertanejo|dance
354,2026-05-15,premium,BR,casual,comedy|synth-pop|indian|british
355,2026-05-27,free,US,power,grunge|alternative|house
356,2026-05-13,free,CA,casual,hard-rock|edm|hardstyle|breakbeat
357,2026-05-08,free,CA,power,gospel|cantopop
358,2026-05-26,free,DE,casual,club|ambient
359,2026-05-30,free,MX,dormant,reggaeton|synth-pop|club
360,2026-05-15,premium,BR,casual,acoustic|breakbeat|alt-rock|electronic
361,2026-05-27,free,AU,casual,mandopop|romance
362,2026-05-04,free,US,casual,edm|garage|chill
363,2026-05-08,free,MX,casual,pop|sleep|piano
364,2026-05-03,free,US,casual,tango|j-rock
365,2026-05-21,free,DE,dormant,minimal-techno|edm|rock|comedy
366,2026-05-14,free,BR,casual,party|guitar
367,2026-05-19,premium,CA,dormant,deep-house|punk-rock|breakbeat
368,2026-05-03,free,US,dormant,malay|jazz|ska|mandopop
369,2026-05-13,free,CA,casual,anime|pop|hardstyle
370,2026-05-09,free,CA,power,alt-rock|guitar|ska|blues
371,2026-05-08,premium,CA,power,psych-rock|pop-film|chicago-house|show-tunes
372,2026-05-05,premium,CA,power,guitar|malay
373,2026-05-27,premium,MX,power,death-metal|synth-pop|singer-songwriter|r-n-b
374,2026-05-23,free,IN,casual,pop-film|deep-house|spanish
375,2026-05-03,free,BR,power,singer-songwriter|industrial|ambient|funk
376,2026-05-02,free,DE,casual,anime|gospel
377,2026-05-17,free,DE,churn_risk,study|malay|j-dance
378,2026-05-02,free,US,power,detroit-techno|french|guitar|trip-hop
379,2026-05-28,free,CA,churn_risk,grindcore|folk|chill|soul
380,2026-05-14,free,CA,casual,salsa|indie-pop|hardstyle
381,2026-05-06,free,DE,power,reggae|j-rock|hard-rock
382,2026-05-26,premium,UK,casual,romance|idm
383,2026-05-14,free,CA,casual,swedish|deep-house|malay|funk
384,2026-05-04,free,DE,churn_risk,goth|psych-rock
385,2026-05-10,premium,IN,churn_risk,pagode|rock|idm
386,2026-05-23,free,CA,churn_risk,grunge|indie|anime
387,2026-05-20,premium,US,casual,forro|pop|sleep
388,2026-05-03,free,IN,casual,pop|hip-hop|happy|k-pop
389,2026-05-31,free,MX,churn_risk,comedy|techno
390,2026-05-02,premium,CA,churn_risk,blues|edm
391,2026-05-12,premium,IN,dormant,metalcore|ambient|pagode
392,2026-05-22,premium,UK,casual,hard-rock|indie-pop|sertanejo
393,2026-05-19,free,AU,casual,latin|happy
394,2026-05-11,free,IN,churn_risk,forro|electro|children|alternative
395,2026-05-16,free,DE,casual,hardstyle|metal|chill|emo
396,2026-05-23,free,MX,dormant,drum-and-bass|party|french
397,2026-05-07,premium,UK,churn_risk,club|trance
398,2026-05-15,free,UK,casual,rock|indie-pop
399,2026-05-26,premium,UK,churn_risk,techno|gospel|punk-rock|grunge
400,2026-05-18,free,IN,churn_risk,funk|garage|techno|dance
401,2026-05-26,free,BR,power,k-pop|dub|chill
402,2026-05-26,free,MX,dormant,edm|sleep
403,2026-05-01,premium,MX,casual,mandopop|minimal-techno|hard-rock
404,2026-05-26,premium,DE,churn_risk,classical|party|british|blues
405,2026-05-13,premium,AU,casual,rockabilly|j-idol|latin|honky-tonk
406,2026-05-27,premium,UK,churn_risk,brazil|classical|gospel|power-pop
407,2026-05-15,premium,IN,casual,r-n-b|kids|grunge
408,2026-05-29,premium,IN,power,pop|new-age|deep-house|show-tunes
409,2026-05-14,free,IN,dormant,turkish|bluegrass|synth-pop|chill
410,2026-05-10,free,BR,power,dance|goth
411,2026-05-12,free,BR,casual,french|techno|breakbeat|electronic
412,2026-05-21,premium,UK,dormant,forro|classical|pop-film|garage
413,2026-05-17,premium,IN,dormant,dancehall|new-age|mpb|country
414,2026-05-22,free,US,casual,rockabilly|pagode|groove|tango
415,2026-05-27,premium,DE,casual,breakbeat|anime
416,2026-05-21,premium,AU,casual,show-tunes|minimal-techno
417,2026-05-20,free,DE,casual,alternative|j-rock|pop-film|malay
418,2026-05-21,free,AU,casual,j-idol|electro|spanish
419,2026-05-10,premium,IN,casual,brazil|reggae|bluegrass
420,2026-05-15,free,CA,churn_risk,j-idol|iranian|disney
421,2026-05-20,premium,CA,churn_risk,gospel|trip-hop
422,2026-05-24,free,CA,churn_risk,hip-hop|classical|sertanejo
423,2026-05-17,premium,UK,power,chicago-house|gospel|edm|iranian
424,2026-05-09,premium,US,casual,electro|comedy|cantopop
425,2026-05-10,premium,BR,power,trip-hop|party|house
426,2026-05-31,free,CA,casual,study|goth
427,2026-05-07,premium,MX,casual,j-rock|k-pop
428,2026-05-16,premium,AU,churn_risk,j-rock|alt-rock|british
429,2026-05-17,free,CA,casual,edm|drum-and-bass|mpb
430,2026-05-02,premium,MX,power,french|j-rock
431,2026-05-10,free,IN,power,afrobeat|techno|chicago-house|indian
432,2026-05-29,free,AU,churn_risk,romance|happy|sertanejo
433,2026-05-12,free,BR,casual,hip-hop|black-metal
434,2026-05-12,free,MX,power,french|brazil|hardstyle|jazz
435,2026-05-25,free,UK,power,forro|swedish|piano|r-n-b
436,2026-05-05,premium,CA,churn_risk,heavy-metal|hard-rock
437,2026-05-18,free,AU,power,samba|comedy|disco
438,2026-05-17,premium,IN,churn_risk,anime|ambient
439,2026-05-23,free,MX,churn_risk,soul|j-dance|kids
440,2026-05-05,free,CA,power,k-pop|club|goth|party
441,2026-05-06,free,DE,power,party|sad|tango
442,2026-05-19,premium,MX,dormant,jazz|synth-pop|k-pop
443,2026-05-23,free,CA,casual,garage|j-dance|study|alt-rock
444,2026-05-11,free,US,casual,children|house|mpb|german
445,2026-05-20,premium,BR,churn_risk,emo|progressive-house|ska
446,2026-05-24,free,IN,dormant,mpb|j-idol
447,2026-05-17,free,AU,dormant,rockabilly|piano|singer-songwriter|tango
448,2026-05-05,free,UK,churn_risk,electro|ambient|minimal-techno|reggaeton
449,2026-05-07,premium,AU,casual,indie-pop|gospel
450,2026-05-05,free,MX,power,reggae|disney|honky-tonk
451,2026-05-28,premium,BR,churn_risk,romance|bluegrass|rock-n-roll|club
452,2026-05-18,free,AU,casual,psych-rock|j-idol|latin
453,2026-05-11,premium,CA,casual,industrial|latino
454,2026-05-18,premium,DE,dormant,punk|show-tunes|turkish
455,2026-05-20,premium,DE,power,detroit-techno|electro|forro
456,2026-05-08,free,BR,casual,show-tunes|french|rock-n-roll
457,2026-05-23,premium,DE,power,j-pop|gospel|j-idol|grunge
